Countries/Regions	lat	long	records
AUSTRIA	48.2	16.366667	9
BELGIUM	50.8333333333	4.333333	16
BULGARIA	42.6833333333	23.316667	0
CROATIA	45.8	16	0
CZECH REPUBLIC	50.0833333333	14.466667	5
DENMARK	55.6666666667	12.583333	15
FINLAND	60.1666666667	24.933333	7
FRANCE	48.8666666667	2.333333	16
GERMANY	52.5166666667	13.4	42
GREECE	37.9833333333	23.733333	0
HUNGARY	47.5	19.083333	1
IRELAND	53.3166666667	-6.233333	4
ITALY	41.9	12.483333	22
LATVIA	56.95	24.1	0
LITHUANIA	54.6833333333	25.316667	5
LUXEMBOURG	49.6	6.116667	4
MALTA	35.891996432	14.50749797	0
NETHERLANDS	52.35	4.916667	8
POLAND	52.25	21	2
PORTUGAL	38.7166666667	-9.133333	1
ROMANIA	44.4333333333	26.1	1
SLOVAKIA	48.15	17.116667	0
SLOVENIA	46.05	14.516667	1
SPAIN	40.4	-3.683333	16
SWEDEN	59.3333333333	18.05	6
