Countries/Regions	lat	long	records
AUSTRIA	48.2	16.366667	360
BELGIUM	50.8333333333	4.333333	643
BULGARIA	42.6833333333	23.316667	32
CROATIA	45.8	16	110
CZECH REPUBLIC	50.0833333333	14.466667	303
DENMARK	55.6666666667	12.583333	442
FINLAND	60.1666666667	24.933333	347
FRANCE	48.8666666667	2.333333	2449
GERMANY	52.5166666667	13.4	3189
GREECE	37.9833333333	23.733333	116
HUNGARY	47.5	19.083333	137
IRELAND	53.3166666667	-6.233333	367
ITALY	41.9	12.483333	2831
LATVIA	56.95	24.1	28
LITHUANIA	54.6833333333	25.316667	20
LUXEMBOURG	49.6	6.116667	81
MALTA	35.891996432	14.50749797	2
NETHERLANDS	52.35	4.916667	378
POLAND	52.25	21	651
PORTUGAL	38.7166666667	-9.133333	185
ROMANIA	44.4333333333	26.1	136
SLOVAKIA	48.15	17.116667	54
SLOVENIA	46.05	14.516667	152
SPAIN	40.4	-3.683333	2262
SWEDEN	59.3333333333	18.05	690
