Countries/Regions	lat	long	records
AUSTRIA	48.2	16.366667	5
BELGIUM	50.8333333333	4.333333	9
BULGARIA	42.6833333333	23.316667	0
CROATIA	45.8	16	1
CZECH REPUBLIC	50.0833333333	14.466667	5
DENMARK	55.6666666667	12.583333	4
FINLAND	60.1666666667	24.933333	10
FRANCE	48.8666666667	2.333333	101
GERMANY	52.5166666667	13.4	45
GREECE	37.9833333333	23.733333	4
HUNGARY	47.5	19.083333	4
IRELAND	53.3166666667	-6.233333	2
ITALY	41.9	12.483333	15
LATVIA	56.95	24.1	0
LITHUANIA	54.6833333333	25.316667	1
LUXEMBOURG	49.6	6.116667	1
MALTA	35.891996432	14.50749797	0
NETHERLANDS	52.35	4.916667	1
POLAND	52.25	21	4
PORTUGAL	38.7166666667	-9.133333	5
ROMANIA	44.4333333333	26.1	0
SLOVAKIA	48.15	17.116667	0
SLOVENIA	46.05	14.516667	0
SPAIN	40.4	-3.683333	34
SWEDEN	59.3333333333	18.05	3
