Countries/Regions	lat	long	records
AUSTRIA	48.2	16.366667	41
BELGIUM	50.8333333333	4.333333	95
BULGARIA	42.6833333333	23.316667	13
CROATIA	45.8	16	9
CZECH REPUBLIC	50.0833333333	14.466667	69
DENMARK	55.6666666667	12.583333	21
FINLAND	60.1666666667	24.933333	100
FRANCE	48.8666666667	2.333333	278
GERMANY	52.5166666667	13.4	526
GREECE	37.9833333333	23.733333	4
HUNGARY	47.5	19.083333	24
IRELAND	53.3166666667	-6.233333	22
ITALY	41.9	12.483333	284
LATVIA	56.95	24.1	7
LITHUANIA	54.6833333333	25.316667	1
LUXEMBOURG	49.6	6.116667	3
MALTA	35.891996432	14.50749797	0
NETHERLANDS	52.35	4.916667	91
POLAND	52.25	21	78
PORTUGAL	38.7166666667	-9.133333	25
ROMANIA	44.4333333333	26.1	3
SLOVAKIA	48.15	17.116667	5
SLOVENIA	46.05	14.516667	8
SPAIN	40.4	-3.683333	111
SWEDEN	59.3333333333	18.05	45
