Countries/Regions	lat	long	records
AUSTRIA	48.2	16.366667	191
BELGIUM	50.8333333333	4.333333	222
BULGARIA	42.6833333333	23.316667	15
CROATIA	45.8	16	82
CZECH REPUBLIC	50.0833333333	14.466667	139
DENMARK	55.6666666667	12.583333	147
FINLAND	60.1666666667	24.933333	91
FRANCE	48.8666666667	2.333333	1249
GERMANY	52.5166666667	13.4	1569
GREECE	37.9833333333	23.733333	67
HUNGARY	47.5	19.083333	57
IRELAND	53.3166666667	-6.233333	92
ITALY	41.9	12.483333	1928
LATVIA	56.95	24.1	15
LITHUANIA	54.6833333333	25.316667	7
LUXEMBOURG	49.6	6.116667	41
MALTA	35.891996432	14.50749797	1
NETHERLANDS	52.35	4.916667	156
POLAND	52.25	21	309
PORTUGAL	38.7166666667	-9.133333	91
ROMANIA	44.4333333333	26.1	29
SLOVAKIA	48.15	17.116667	34
SLOVENIA	46.05	14.516667	124
SPAIN	40.4	-3.683333	679
SWEDEN	59.3333333333	18.05	348
