Countries/Regions	lat	long	records
AUSTRIA	48.2	16.366667	103
BELGIUM	50.8333333333	4.333333	259
BULGARIA	42.6833333333	23.316667	4
CROATIA	45.8	16	14
CZECH REPUBLIC	50.0833333333	14.466667	79
DENMARK	55.6666666667	12.583333	240
FINLAND	60.1666666667	24.933333	129
FRANCE	48.8666666667	2.333333	708
GERMANY	52.5166666667	13.4	896
GREECE	37.9833333333	23.733333	39
HUNGARY	47.5	19.083333	48
IRELAND	53.3166666667	-6.233333	228
ITALY	41.9	12.483333	390
LATVIA	56.95	24.1	5
LITHUANIA	54.6833333333	25.316667	5
LUXEMBOURG	49.6	6.116667	8
MALTA	35.891996432	14.50749797	1
NETHERLANDS	52.35	4.916667	110
POLAND	52.25	21	250
PORTUGAL	38.7166666667	-9.133333	50
ROMANIA	44.4333333333	26.1	103
SLOVAKIA	48.15	17.116667	15
SLOVENIA	46.05	14.516667	15
SPAIN	40.4	-3.683333	1337
SWEDEN	59.3333333333	18.05	282
