Countries/Regions	lat	long	records
AUSTRIA	48.2	16.366667	11
BELGIUM	50.8333333333	4.333333	42
BULGARIA	42.6833333333	23.316667	0
CROATIA	45.8	16	4
CZECH REPUBLIC	50.0833333333	14.466667	6
DENMARK	55.6666666667	12.583333	15
FINLAND	60.1666666667	24.933333	10
FRANCE	48.8666666667	2.333333	97
GERMANY	52.5166666667	13.4	111
GREECE	37.9833333333	23.733333	2
HUNGARY	47.5	19.083333	3
IRELAND	53.3166666667	-6.233333	19
ITALY	41.9	12.483333	192
LATVIA	56.95	24.1	1
LITHUANIA	54.6833333333	25.316667	1
LUXEMBOURG	49.6	6.116667	24
MALTA	35.891996432	14.50749797	0
NETHERLANDS	52.35	4.916667	12
POLAND	52.25	21	8
PORTUGAL	38.7166666667	-9.133333	13
ROMANIA	44.4333333333	26.1	0
SLOVAKIA	48.15	17.116667	0
SLOVENIA	46.05	14.516667	4
SPAIN	40.4	-3.683333	85
SWEDEN	59.3333333333	18.05	6
