Countries/Regions	lat	long	records
AFGHANISTAN	33.9391	67.7100	1
ALGERIA	36.75	3.05	152
ARGENTINA	-34.5833333333	-58.666667	337
ARMENIA	40.1666666667	44.5	4
AUSTRALIA	-35.2666666667	149.133333	547
AUSTRIA	48.2	16.366667	360
AZERBAIJAN	40.3833333333	49.866667	11
BAHRAIN	26.2285	50.5860	5
BANGLADESH	23.7166666667	90.4	73
BELARUS	53.9	27.566667	30
BELGIUM	50.8333333333	4.333333	643
BENIN	6.48333333333	2.616667	2
BOSNIA HERCEG	43.9159	17.6791	5
BOTSWANA	-24.6333333333	25.9	3
BRAZIL	-15.7833333333	-47.916667	1073
BRUNEI	4.5353	114.7277	2
BULGARIA	42.6833333333	23.316667	32
CAMEROON	3.86666666667	11.516667	9
CANADA	45.4166666667	-75.7	837
CHILE	-33.45	-70.666667	148
COLOMBIA	4.6	-74.083333	131
COSTA RICA	9.93333333333	-84.083333	3
COTE IVOIRE	nan	nan	2
CROATIA	45.8	16	110
CUBA	23.1166666667	-82.35	14
CYPRUS	35.185566	33.382275	12
CZECH REPUBLIC	50.0833333333	14.466667	303
DENMARK	55.6666666667	12.583333	442
DOMINICAN REP	18.7357	70.1627	2
ECUADOR	-0.216666666667	-78.5	17
EGYPT	30.05	31.25	78
EL SALVADOR	15.369445	44.191006	2
ENGLAND	nan	nan	2344
ESTONIA	59.436962	24.753574	8
ETHIOPIA	9.03333333333	38.7	10
FINLAND	60.1666666667	24.933333	347
FRANCE	48.8666666667	2.333333	2449
GEORGIA	42.3154	43.3569	2
GERMANY	52.5166666667	13.4	3189
GHANA	5.55	-0.216667	26
GREECE	37.9833333333	23.733333	116
GUATEMALA	15.7835	90.2308	1
HUNGARY	47.5	19.083333	137
ICELAND	64.15	-21.95	47
INDIA	28.6	77.2	2448
INDONESIA	-6.16666666667	106.816667	88
IRAN	35.7	51.416667	1100
IRAQ	33.3333333333	44.4	97
IRELAND	53.3166666667	-6.233333	367
ISRAEL	31.7666666667	35.233333	237
ITALY	41.9	12.483333	2831
JAMAICA	18.1096	77.2975	1
JAPAN	35.6833333333	139.75	2010
JORDAN	31.963158	35.930359	37
KAZAKHSTAN	51.1666666667	71.416667	27
KENYA	-1.28333333333	36.816667	34
KUWAIT	29.3759	47.9774	7
KYRGYZSTAN	41.2044	74.7661	1
LATVIA	56.95	24.1	28
LEBANON	33.88863	35.49548	9
LIBYA	26.3351	17.2283	1
LITHUANIA	54.6833333333	25.316667	20
LUXEMBOURG	49.6	6.116667	81
MACEDONIA	41.6086	21.7453	1
MALAWI	13.9626	33.7741	1
MALAYSIA	3.16666666667	101.7	114
MALTA	35.891996432	14.50749797	2
MAURITIUS	-20.20665	57.6755	3
MEXICO	19.4333333333	-99.133333	518
MOLDOVA	47	28.85	14
MONGOLIA	46.8625	103.8467	3
MONTENEGRO	42.7087	19.3744	1
MOROCCO	34.0166666667	-6.816667	180
NEPAL	27.7166666667	85.316667	26
NETHERLANDS	52.35	4.916667	378
NEW CALEDONIA	20.9043	165.6180	2
NEW ZEALAND	-41.3	174.783333	22
NIGERIA	9.08333333333	7.533333	131
NORTH IRELAND	nan	nan	126
NORTH KOREA	39.0166666667	125.75	45
NORTH MACEDONIA	41.6086	21.7453	3
NORWAY	59.9166666667	10.75	134
OMAN	23.6166666667	58.583333	7
PAKISTAN	33.6833333333	73.05	141
PALESTINE	31.7683	35.2137	3
PANAMA	8.5380	80.7821	5
PARAGUAY	-25.2666666667	-57.666667	1
PEOPLES R CHINA	39.9166666667	116.383333	6458
PERU	-12.05	-77.05	14
PHILIPPINES	14.6	120.966667	33
POLAND	52.25	21	651
PORTUGAL	38.7166666667	-9.133333	185
QATAR	25.2833333333	51.533333	50
REP CONGO	-4.25	15.283333	21
ROMANIA	44.4333333333	26.1	136
RUSSIA	55.75	37.6	1302
SAUDI ARABIA	24.65	46.7	375
SCOTLAND	nan	nan	184
SENEGAL	14.4974	14.4524	1
SERBIA	44.8333333333	20.5	151
SINGAPORE	1.28333333333	103.85	538
SLOVAKIA	48.15	17.116667	54
SLOVENIA	46.05	14.516667	152
SOUTH AFRICA	-25.7	28.216667	116
SOUTH KOREA	37.55	126.983333	838
SOUTH SUDAN	6.8770	31.3070	1
SPAIN	40.4	-3.683333	2262
SRI LANKA	6.927079	79.861244	2
SUDAN	15.6	32.533333	11
SWEDEN	59.3333333333	18.05	690
SWITZERLAND	46.9166666667	7.466667	1582
TAIWAN	25.0333333333	121.516667	278
TANZANIA	6.1630	35.7516	2
THAILAND	13.75	100.516667	91
TUNISIA	36.8	10.183333	67
TURKEY	39.9333333333	32.866667	495
U ARAB EMIRATES	24.4666666667	54.366667	57
UKRAINE	50.4333333333	30.516667	192
URUGUAY	-34.85	-56.166667	95
USA	38.883333	-77	8133
UZBEKISTAN	41.3166666667	69.25	3
VENEZUELA	10.4833333333	-66.866667	11
VIETNAM	21.0333333333	105.85	250
WALES	nan	nan	72
YEMEN	15.369445	44.191006	3
ZAMBIA	-15.4166666667	28.283333	7
