Countries/Regions	lat	long	records
AFGHANISTAN	33.9391	67.7100	0
ALGERIA	36.75	3.05	61
ARGENTINA	-34.5833333333	-58.666667	164
ARMENIA	40.1666666667	44.5	0
AUSTRALIA	-35.2666666667	149.133333	271
AUSTRIA	48.2	16.366667	103
AZERBAIJAN	40.3833333333	49.866667	3
BAHRAIN	26.2285	50.5860	1
BANGLADESH	23.7166666667	90.4	6
BELARUS	53.9	27.566667	4
BELGIUM	50.8333333333	4.333333	259
BENIN	6.48333333333	2.616667	0
BOSNIA HERCEG	43.9159	17.6791	0
BOTSWANA	-24.6333333333	25.9	0
BRAZIL	-15.7833333333	-47.916667	579
BRUNEI	4.5353	114.7277	1
BULGARIA	42.6833333333	23.316667	4
CAMEROON	3.86666666667	11.516667	0
CANADA	45.4166666667	-75.7	300
CHILE	-33.45	-70.666667	85
COLOMBIA	4.6	-74.083333	43
COSTA RICA	9.93333333333	-84.083333	1
COTE IVOIRE	nan	nan	0
CROATIA	45.8	16	14
CUBA	23.1166666667	-82.35	3
CYPRUS	35.185566	33.382275	3
CZECH REPUBLIC	50.0833333333	14.466667	79
DENMARK	55.6666666667	12.583333	240
DOMINICAN REP	18.7357	70.1627	0
ECUADOR	-0.216666666667	-78.5	6
EGYPT	30.05	31.25	36
EL SALVADOR	15.369445	44.191006	0
ENGLAND	nan	nan	853
ESTONIA	59.436962	24.753574	0
ETHIOPIA	9.03333333333	38.7	1
FINLAND	60.1666666667	24.933333	129
FRANCE	48.8666666667	2.333333	708
GEORGIA	42.3154	43.3569	1
GERMANY	52.5166666667	13.4	896
GHANA	5.55	-0.216667	0
GREECE	37.9833333333	23.733333	39
GUATEMALA	15.7835	90.2308	0
HUNGARY	47.5	19.083333	48
ICELAND	64.15	-21.95	15
INDIA	28.6	77.2	1023
INDONESIA	-6.16666666667	106.816667	2
IRAN	35.7	51.416667	506
IRAQ	33.3333333333	44.4	61
IRELAND	53.3166666667	-6.233333	228
ISRAEL	31.7666666667	35.233333	50
ITALY	41.9	12.483333	390
JAMAICA	18.1096	77.2975	1
JAPAN	35.6833333333	139.75	699
JORDAN	31.963158	35.930359	11
KAZAKHSTAN	51.1666666667	71.416667	10
KENYA	-1.28333333333	36.816667	4
KUWAIT	29.3759	47.9774	3
KYRGYZSTAN	41.2044	74.7661	1
LATVIA	56.95	24.1	5
LEBANON	33.88863	35.49548	3
LIBYA	26.3351	17.2283	1
LITHUANIA	54.6833333333	25.316667	5
LUXEMBOURG	49.6	6.116667	8
MACEDONIA	41.6086	21.7453	1
MALAWI	13.9626	33.7741	0
MALAYSIA	3.16666666667	101.7	7
MALTA	35.891996432	14.50749797	1
MAURITIUS	-20.20665	57.6755	0
MEXICO	19.4333333333	-99.133333	254
MOLDOVA	47	28.85	6
MONGOLIA	46.8625	103.8467	0
MONTENEGRO	42.7087	19.3744	0
MOROCCO	34.0166666667	-6.816667	17
NEPAL	27.7166666667	85.316667	5
NETHERLANDS	52.35	4.916667	110
NEW CALEDONIA	20.9043	165.6180	0
NEW ZEALAND	-41.3	174.783333	6
NIGERIA	9.08333333333	7.533333	1
NORTH IRELAND	nan	nan	63
NORTH KOREA	39.0166666667	125.75	13
NORTH MACEDONIA	41.6086	21.7453	2
NORWAY	59.9166666667	10.75	26
OMAN	23.6166666667	58.583333	0
PAKISTAN	33.6833333333	73.05	31
PALESTINE	31.7683	35.2137	0
PANAMA	8.5380	80.7821	0
PARAGUAY	-25.2666666667	-57.666667	0
PEOPLES R CHINA	39.9166666667	116.383333	2987
PERU	-12.05	-77.05	6
PHILIPPINES	14.6	120.966667	1
POLAND	52.25	21	250
PORTUGAL	38.7166666667	-9.133333	50
QATAR	25.2833333333	51.533333	23
REP CONGO	-4.25	15.283333	0
ROMANIA	44.4333333333	26.1	103
RUSSIA	55.75	37.6	362
SAUDI ARABIA	24.65	46.7	79
SCOTLAND	nan	nan	38
SENEGAL	14.4974	14.4524	0
SERBIA	44.8333333333	20.5	24
SINGAPORE	1.28333333333	103.85	218
SLOVAKIA	48.15	17.116667	15
SLOVENIA	46.05	14.516667	15
SOUTH AFRICA	-25.7	28.216667	7
SOUTH KOREA	37.55	126.983333	336
SOUTH SUDAN	6.8770	31.3070	0
SPAIN	40.4	-3.683333	1337
SRI LANKA	6.927079	79.861244	0
SUDAN	15.6	32.533333	0
SWEDEN	59.3333333333	18.05	282
SWITZERLAND	46.9166666667	7.466667	189
TAIWAN	25.0333333333	121.516667	84
TANZANIA	6.1630	35.7516	0
THAILAND	13.75	100.516667	19
TUNISIA	36.8	10.183333	27
TURKEY	39.9333333333	32.866667	190
U ARAB EMIRATES	24.4666666667	54.366667	13
UKRAINE	50.4333333333	30.516667	49
URUGUAY	-34.85	-56.166667	80
USA	38.883333	-77	2224
UZBEKISTAN	41.3166666667	69.25	2
VENEZUELA	10.4833333333	-66.866667	6
VIETNAM	21.0333333333	105.85	48
WALES	nan	nan	30
YEMEN	15.369445	44.191006	1
ZAMBIA	-15.4166666667	28.283333	0
