Countries/Regions	lat	long	records
AFGHANISTAN	33.9391	67.7100	0
ALGERIA	36.75	3.05	1
ARGENTINA	-34.5833333333	-58.666667	1
ARMENIA	40.1666666667	44.5	0
AUSTRALIA	-35.2666666667	149.133333	6
AUSTRIA	48.2	16.366667	11
AZERBAIJAN	40.3833333333	49.866667	0
BAHRAIN	26.2285	50.5860	0
BANGLADESH	23.7166666667	90.4	0
BELARUS	53.9	27.566667	0
BELGIUM	50.8333333333	4.333333	42
BENIN	6.48333333333	2.616667	0
BOSNIA HERCEG	43.9159	17.6791	0
BOTSWANA	-24.6333333333	25.9	0
BRAZIL	-15.7833333333	-47.916667	10
BRUNEI	4.5353	114.7277	0
BULGARIA	42.6833333333	23.316667	0
CAMEROON	3.86666666667	11.516667	0
CANADA	45.4166666667	-75.7	12
CHILE	-33.45	-70.666667	1
COLOMBIA	4.6	-74.083333	0
COSTA RICA	9.93333333333	-84.083333	0
COTE IVOIRE	nan	nan	0
CROATIA	45.8	16	4
CUBA	23.1166666667	-82.35	0
CYPRUS	35.185566	33.382275	1
CZECH REPUBLIC	50.0833333333	14.466667	6
DENMARK	55.6666666667	12.583333	15
DOMINICAN REP	18.7357	70.1627	0
ECUADOR	-0.216666666667	-78.5	0
EGYPT	30.05	31.25	0
EL SALVADOR	15.369445	44.191006	0
ENGLAND	nan	nan	62
ESTONIA	59.436962	24.753574	0
ETHIOPIA	9.03333333333	38.7	0
FINLAND	60.1666666667	24.933333	10
FRANCE	48.8666666667	2.333333	97
GEORGIA	42.3154	43.3569	0
GERMANY	52.5166666667	13.4	111
GHANA	5.55	-0.216667	1
GREECE	37.9833333333	23.733333	2
GUATEMALA	15.7835	90.2308	0
HUNGARY	47.5	19.083333	3
ICELAND	64.15	-21.95	1
INDIA	28.6	77.2	11
INDONESIA	-6.16666666667	106.816667	4
IRAN	35.7	51.416667	25
IRAQ	33.3333333333	44.4	0
IRELAND	53.3166666667	-6.233333	19
ISRAEL	31.7666666667	35.233333	1
ITALY	41.9	12.483333	192
JAMAICA	18.1096	77.2975	0
JAPAN	35.6833333333	139.75	25
JORDAN	31.963158	35.930359	0
KAZAKHSTAN	51.1666666667	71.416667	0
KENYA	-1.28333333333	36.816667	2
KUWAIT	29.3759	47.9774	0
KYRGYZSTAN	41.2044	74.7661	0
LATVIA	56.95	24.1	1
LEBANON	33.88863	35.49548	0
LIBYA	26.3351	17.2283	0
LITHUANIA	54.6833333333	25.316667	1
LUXEMBOURG	49.6	6.116667	24
MACEDONIA	41.6086	21.7453	0
MALAWI	13.9626	33.7741	0
MALAYSIA	3.16666666667	101.7	11
MALTA	35.891996432	14.50749797	0
MAURITIUS	-20.20665	57.6755	0
MEXICO	19.4333333333	-99.133333	6
MOLDOVA	47	28.85	0
MONGOLIA	46.8625	103.8467	0
MONTENEGRO	42.7087	19.3744	0
MOROCCO	34.0166666667	-6.816667	14
NEPAL	27.7166666667	85.316667	0
NETHERLANDS	52.35	4.916667	12
NEW CALEDONIA	20.9043	165.6180	0
NEW ZEALAND	-41.3	174.783333	0
NIGERIA	9.08333333333	7.533333	15
NORTH IRELAND	nan	nan	17
NORTH KOREA	39.0166666667	125.75	0
NORTH MACEDONIA	41.6086	21.7453	0
NORWAY	59.9166666667	10.75	1
OMAN	23.6166666667	58.583333	0
PAKISTAN	33.6833333333	73.05	4
PALESTINE	31.7683	35.2137	0
PANAMA	8.5380	80.7821	2
PARAGUAY	-25.2666666667	-57.666667	0
PEOPLES R CHINA	39.9166666667	116.383333	119
PERU	-12.05	-77.05	0
PHILIPPINES	14.6	120.966667	0
POLAND	52.25	21	8
PORTUGAL	38.7166666667	-9.133333	13
QATAR	25.2833333333	51.533333	0
REP CONGO	-4.25	15.283333	0
ROMANIA	44.4333333333	26.1	0
RUSSIA	55.75	37.6	16
SAUDI ARABIA	24.65	46.7	8
SCOTLAND	nan	nan	2
SENEGAL	14.4974	14.4524	0
SERBIA	44.8333333333	20.5	1
SINGAPORE	1.28333333333	103.85	21
SLOVAKIA	48.15	17.116667	0
SLOVENIA	46.05	14.516667	4
SOUTH AFRICA	-25.7	28.216667	5
SOUTH KOREA	37.55	126.983333	7
SOUTH SUDAN	6.8770	31.3070	0
SPAIN	40.4	-3.683333	85
SRI LANKA	6.927079	79.861244	0
SUDAN	15.6	32.533333	1
SWEDEN	59.3333333333	18.05	6
SWITZERLAND	46.9166666667	7.466667	36
TAIWAN	25.0333333333	121.516667	3
TANZANIA	6.1630	35.7516	0
THAILAND	13.75	100.516667	3
TUNISIA	36.8	10.183333	1
TURKEY	39.9333333333	32.866667	4
U ARAB EMIRATES	24.4666666667	54.366667	0
UKRAINE	50.4333333333	30.516667	1
URUGUAY	-34.85	-56.166667	0
USA	38.883333	-77	162
UZBEKISTAN	41.3166666667	69.25	0
VENEZUELA	10.4833333333	-66.866667	0
VIETNAM	21.0333333333	105.85	2
WALES	nan	nan	1
YEMEN	15.369445	44.191006	0
ZAMBIA	-15.4166666667	28.283333	0
